Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp half,Yellow card,Red card
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,CF,33,14,7,1,0,1,1,0.08,1,1,0,0,0,0,1,0,12,5,4,1,0,4,3,0,0,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,"AMF, CF",70,54,29,0,0,2,2,0.42,20,12,2,0,3,0,5,5,25,15,6,4,0,13,3,4,0,0,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,"AMF, CF",85,65,34,0,0,7,4,1.03,14,6,1,0,1,0,8,3,40,24,8,6,2,16,2,4,1,39,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,CF,45,44,16,0,0,2,0,0.05,9,7,0,0,1,0,8,4,20,8,4,1,2,11,1,4,3,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,CF,40,37,7,0,0,1,0,0.08,4,2,0,0,0,0,0,0,17,4,7,4,1,7,0,0,0,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,CF,68,41,17,0,0,1,1,0.15,14,10,0,0,0,0,4,1,20,5,3,1,1,9,1,1,1,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,CF,60,38,21,0,0,3,3,0.29,11,8,1,0,0,0,5,1,21,9,4,1,1,9,0,4,3,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,CF,82,57,29,0,0,3,1,0.55,14,11,1,0,2,0,5,2,34,14,10,4,2,9,1,1,0,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,CF,71,48,21,0,0,1,0,0.06,13,8,1,0,3,3,5,3,24,10,11,6,1,14,3,1,1,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,CF,65,35,15,0,0,1,0,0.24,8,4,0,0,1,0,4,2,18,11,9,7,5,7,0,3,3,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,"LB, CF",101,51,22,0,0,2,1,0.12,20,5,3,0,3,1,2,2,21,14,12,8,4,19,9,2,1,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,"LB, LB5",96,45,26,0,0,1,0,0.22,15,11,3,2,2,0,2,1,22,15,5,2,4,8,4,13,2,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,LB,101,79,42,0,0,1,0,0.02,37,23,5,2,5,1,8,6,33,17,7,3,2,25,7,10,3,0,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,LB,84,83,57,0,0,2,1,0.23,48,40,6,5,4,1,6,3,26,12,6,2,5,12,2,9,4,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,LB,93,77,47,0,0,0,0,0,36,27,6,3,3,0,4,4,32,20,11,7,7,18,7,14,1,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,LB,101,84,47,0,0,0,0,0,36,22,9,3,2,0,4,3,36,23,17,12,5,21,8,12,2,70,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,LB,75,46,24,0,0,0,0,0,28,17,8,3,2,1,4,1,17,7,3,2,3,9,1,7,2,0,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,"CF, LB",96,73,51,0,0,1,1,0.09,38,27,5,2,4,0,7,4,29,23,6,6,8,9,2,22,3,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,LB,95,52,26,0,0,2,0,0.06,25,16,8,1,0,0,3,1,20,10,8,6,2,11,2,8,0,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,LB,87,60,32,2,0,3,2,1.21,23,12,6,1,1,1,4,4,26,17,14,8,9,23,9,11,1,75,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,LB,99,56,29,0,0,1,0,0.12,21,12,6,3,2,1,2,1,29,16,12,7,1,20,7,8,2,0,0
