Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots on target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opposite half,Yellow card,Red card
UIC Flames - Belmont Bruins 2:1,United States. NCAA D1 Missouri Valley,2023-11-05,LCB,109,62,36,0,0,0,0,0,31,19,7,3,0,0,1,0,23,16,10,8,12,19,11,19,5,0,0
Belmont Bruins - Evansville Purple Aces 2:2,United States. NCAA D1 Missouri Valley,2023-11-02,LCB,107,70,49,0,0,1,0,0.01,48,39,8,4,0,0,1,1,15,9,4,3,6,15,7,15,3,0,0
Western Michigan Broncos - Belmont Bruins 5:0,United States. NCAA D1 Missouri Valley,2023-10-27,LCB,84,52,35,0,0,0,0,0,30,25,5,3,1,0,0,0,16,9,10,6,6,12,7,13,0,0,0
Lipscomb Bisons - Belmont Bruins 4:2,United States. NCAA D1 Non-conference matches,2023-10-11,LCB,121,74,44,0,0,0,0,0,32,21,5,1,0,0,0,0,27,19,13,7,12,16,8,18,2,0,0
Bradley Braves - Belmont Bruins 1:3,United States. NCAA D1 Missouri Valley,2023-10-07,LCB,104,88,60,0,1,0,0,0,60,48,12,6,0,0,0,0,22,11,11,6,9,14,9,20,3,34,0
Belmont Bruins - Drake Bulldogs 2:1,United States. NCAA D1 Missouri Valley,2023-10-01,LCB,104,71,55,1,0,2,1,0.46,35,30,5,3,1,0,5,4,30,22,19,15,4,15,2,17,0,0,0
Presbyterian BlueHose - Belmont Bruins 1:3,United States. NCAA D1 Non-conference matches,2023-09-26,LCB,103,66,44,1,1,3,1,0.46,37,28,12,6,0,0,0,0,18,12,9,7,4,16,8,11,1,0,0
Missouri State Bears - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2023-09-23,LCB,97,66,40,0,0,0,0,0,31,20,10,4,1,0,0,0,29,19,9,6,5,16,5,19,2,0,0
Belmont Bruins - UIC Flames 0:2,United States. NCAA D1 Missouri Valley,2023-09-17,LCB,96,95,70,0,0,2,1,0.14,51,48,7,5,0,0,5,3,29,17,6,3,13,12,8,24,0,0,0
Southern Indiana Screaming Eagles - Belmont Bruins 0:4,United States. NCAA D1 Non-conference matches,2023-09-13,LCB,74,81,67,1,0,1,1,0.26,64,58,13,12,0,0,0,0,8,5,5,3,10,12,5,15,0,0,0
Memphis Tigers - Belmont Bruins 2:1,United States. NCAA D1 Non-conference matches,2023-09-09,LCB,99,90,64,0,0,0,0,0,57,51,6,6,0,0,1,1,22,12,9,4,8,11,7,17,0,0,0
Belmont Bruins - FAU Owls 1:1,United States. NCAA D1 Non-conference matches,2023-08-28,LCB,98,73,45,0,0,0,0,0,50,34,13,5,0,0,0,0,15,10,8,7,13,19,11,16,0,0,0
Belmont Bruins - Georgia State Panthers 1:0,United States. NCAA D1 Non-conference matches,2023-08-25,LCB,106,70,47,0,0,0,0,0,47,36,14,8,0,0,0,0,14,9,7,5,9,16,12,11,1,0,0
Evansville Purple Aces - Belmont Bruins 1:0,United States. NCAA D1 Missouri Valley,2022-11-10,RCB,101,59,33,0,0,1,0,0.07,29,21,8,3,0,0,1,1,18,11,7,3,7,10,6,13,2,0,0
UIC Flames - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-11-06,"CB, RCB",96,40,21,0,0,0,0,0,17,12,5,4,0,0,1,1,15,8,7,4,12,9,5,17,1,0,0
Evansville Purple Aces - Belmont Bruins 0:0,United States. NCAA D1 Missouri Valley,2022-11-03,RCB,101,70,46,0,0,1,1,0.11,43,31,13,6,0,0,0,0,14,12,5,4,10,12,6,18,1,62,0
Belmont Bruins - Eastern Illinois Panthers 2:0,United States. NCAA D1 Non-conference matches,2022-10-27,RCB,93,65,49,0,0,2,1,0.3,50,42,10,6,2,1,0,0,9,6,5,3,3,4,1,15,0,0,0
Belmont Bruins - Missouri State Bears 0:0,United States. NCAA D1 Missouri Valley,2022-10-23,RCB,93,60,37,0,0,0,0,0,31,25,7,4,0,0,1,0,14,10,4,3,13,12,7,18,2,0,0
Bellarmine Knights - Belmont Bruins 1:1,United States. NCAA D1 Non-conference matches,2022-10-20,RCB,101,94,67,0,0,1,0,0.13,61,52,13,8,0,0,1,1,24,14,5,2,4,8,5,19,0,0,0
Drake Bulldogs - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-15,RCB,98,81,52,0,0,0,0,0,57,39,13,3,0,0,1,1,18,11,2,2,10,20,12,19,0,0,0
Missouri State Bears - Belmont Bruins 2:0,United States. NCAA D1 Missouri Valley,2022-10-09,RCB,96,59,40,0,0,1,1,0.17,34,26,6,4,1,0,1,0,19,11,5,5,5,10,5,19,1,0,0
Belmont Bruins - Evansville Purple Aces 0:0,United States. NCAA D1 Missouri Valley,2022-10-06,RCB,95,66,49,0,0,0,0,0,40,32,10,6,0,0,2,2,21,15,4,2,6,10,5,25,3,0,0
Belmont Bruins - UIC Flames 2:3,United States. NCAA D1 Missouri Valley,2022-10-02,RCB,98,68,44,0,0,0,0,0,42,32,10,5,0,0,1,0,18,12,7,4,11,15,3,25,0,0,0
SIUE Cougars - Belmont Bruins 0:1,United States. NCAA D1 Missouri Valley,2022-09-25,RCB,96,61,38,0,0,0,0,0,44,34,12,5,2,0,1,0,11,3,2,1,8,11,3,6,2,0,0
IUPUI Jaguars - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-20,RCB,105,77,58,0,0,0,0,0,46,43,5,3,1,0,0,0,21,14,6,5,11,8,5,19,1,0,0
Belmont Bruins - Bradley Braves 2:1,United States. NCAA D1 Missouri Valley,2022-09-18,RCB,98,70,57,1,0,1,1,0.07,53,47,12,9,0,0,0,0,12,9,7,6,1,9,4,14,1,0,0
UNC Asheville Bulldogs - Belmont Bruins 1:2,United States. NCAA D1 Non-conference matches,2022-09-10,RCB,100,50,38,0,0,2,1,0.4,33,30,6,3,0,0,1,1,9,6,1,1,5,4,2,14,1,0,0
Belmont Bruins - Lipscomb Bisons 0:0,United States. NCAA D1 Non-conference matches,2022-09-07,RCB,103,50,30,0,0,0,0,0,26,18,2,1,1,1,0,0,16,12,5,3,12,10,8,19,2,60,0
Kentucky Wildcats - Belmont Bruins 3:0,United States. NCAA D1 Non-conference matches,2022-09-03,CB,61,35,18,0,0,0,0,0,11,7,5,1,0,0,0,0,18,10,6,2,6,7,6,7,1,36,0
Belmont Bruins - IPFW Mastodons 1:1,United States. NCAA D1 Non-conference matches,2022-08-28,"RCB, RCB3",77,64,52,0,0,1,0,0.07,46,40,5,2,0,0,1,1,12,9,2,2,8,5,2,9,1,0,0
Belmont Bruins - Southern Indiana Screaming Eagles 2:0,United States. NCAA D1 Non-conference matches,2022-08-26,RCB3,78,52,29,0,0,1,0,0.15,25,15,3,2,1,0,1,1,19,13,6,4,6,18,7,16,0,0,0
